Date,Electricity Direct Use,"Electricity End Use, Total",Electricity Exports,Electricity Imports,"Electricity Net Generation, Commercial Sector","Electricity Net Generation, Electric Power Sector","Electricity Net Generation, Industrial Sector","Electricity Net Generation, Total",Electricity Net Imports,"Electricity Retail Sales, Total",Transmission and Distribution Losses and Unaccounted for
1973-01,,144.505,.218,1.431,,159.913,.305,160.218,1.213,144.505,16.925
1973-02,,139.546,.197,1.292,,143.257,.282,143.539,1.095,139.546,5.088
1973-03,,137.102,.218,1.431,,147.847,.312,148.158,1.213,137.102,12.269
1973-04,,131.366,.211,1.385,,139.292,.298,139.589,1.174,131.366,9.397
1973-05,,131.361,.218,1.431,,147.088,.307,147.395,1.213,131.361,17.247
1973-06,,140.293,.211,1.385,,160.945,.298,161.244,1.174,140.293,22.124
1973-07,,152.562,.218,1.431,,173.467,.266,173.733,1.213,152.562,22.383
1973-08,,157.481,.218,1.431,,177.109,.257,177.365,1.213,157.481,21.097
1973-09,,157.31,.211,1.385,,156.651,.224,156.875,1.174,157.31,.739
1973-10,,146.042,.218,1.431,,153.954,.244,154.197,1.213,146.042,9.368
1973-11,,138.142,.211,1.385,,147.881,.257,148.138,1.174,138.142,11.169
1973-12,,137.199,.218,1.431,,153.307,.298,153.605,1.213,137.199,17.618
1974-01,,143.986,.232,1.31,,157.254,.301,157.555,1.078,143.986,14.647
1974-02,,136.737,.209,1.183,,142.474,.274,142.748,.974,136.737,6.985
1974-03,,135.952,.232,1.31,,150.048,.294,150.342,1.078,135.952,15.468
1974-04,,133.007,.224,1.267,,142.021,.291,142.312,1.043,133.007,10.348
1974-05,,133.077,.232,1.31,,153.513,.3,153.813,1.078,133.077,21.814
1974-06,,141.931,.224,1.267,,156.161,.279,156.44,1.043,141.931,15.552
1974-07,,151.511,.232,1.31,,177.992,.255,178.247,1.078,151.511,27.814
1974-08,,158.112,.232,1.31,,173.879,.24,174.119,1.078,158.112,17.085
1974-09,,153.619,.224,1.267,,152.239,.229,152.467,1.043,153.619,-.108
1974-10,,141.355,.232,1.31,,151.978,.217,152.196,1.078,141.355,11.919
