Date,Global_Mean,North_H_Mean,South_H_Mean,Tropics_Mean
1998-01,103.392811959,82.3046554962,124.480968422,129.662329028
1998-02,100.592345652,71.8129858726,129.371705431,118.781303714
1998-03,100.197818864,66.9640583599,133.431579368,125.599803413
1998-04,99.3860155128,74.9533839751,123.81864705,127.505757958
1998-05,104.807839449,98.3642552829,111.251423615,126.662430174
1998-06,104.345806722,120.125651531,88.5659619129,125.273142678
1998-07,103.259869766,126.532423872,79.9873156595,128.533347876
1998-08,102.920418876,132.4355243,73.4053134524,129.063806649
1998-09,102.534358031,136.366141371,68.7025746904,129.250317815
1998-10,100.198173296,127.423024219,72.9733223743,127.949710834
1998-11,102.155071256,115.469783856,88.8403586569,127.531800251
1998-12,104.667284082,108.409826493,100.924741671,132.323971365
1999-01,101.884148515,92.4222740421,111.346022988,127.898951118
1999-02,102.674993858,79.4501614824,125.899826234,124.022044097
1999-03,99.2632283627,74.5762976801,123.950159045,124.929937115
1999-04,98.7574756104,90.4871449184,107.027806303,122.568777064
1999-05,102.791388835,100.090936199,105.491841471,123.540131206
1999-06,103.674456101,120.861436205,86.4874759963,121.935299594
1999-07,106.809387282,134.769585359,78.8491892052,133.351785581
1999-08,101.074303784,135.474978018,66.6736295493,126.949738566
1999-09,100.420698391,131.560991482,69.2804052994,126.228981485
1999-10,99.4937284844,129.814818418,69.1726385506,128.802389629
1999-11,100.977375435,111.455251963,90.4994989072,127.49621374
1999-12,103.328349327,107.204286539,99.4524121158,131.005221799
2000-01,102.712009141,91.6553646603,113.768653622,128.294928424
2000-02,100.46038721,75.1748494704,125.745924949,125.045672093
2000-03,98.3090870373,73.9851718519,122.633002223,122.900732806
2000-04,101.244510035,83.8136658519,118.675354217,126.035174172
2000-05,102.470480134,103.888010857,101.052949411,125.886034422
2000-06,105.349118422,118.652668574,92.0455682703,126.337261735
2000-07,101.892170841,126.421558983,77.3627826985,125.769686882
2000-08,101.26209241,132.41755087,70.1066339497,127.483345869
2000-09,102.764282021,133.325347696,72.2032163456,125.143546702
2000-10,100.098126596,127.232659551,72.9635936413,124.838142557
2000-11,103.49490523,115.193914112,91.7958963488,126.919144976
2000-12,105.105486607,104.800750621,105.410222593,128.081412607
2001-01,100.802821733,90.3869075297,111.218735935,122.73125872
2001-02,97.6534554613,75.4702457223,119.8366652,122.319418958
2001-03,99.6637117073,79.2260217642,120.10140165,116.367228031
2001-04,98.1599386955,81.6826972019,114.637180189,122.625961738
2001-05,100.244428662,103.467564315,97.0212930091,119.529548728
2001-06,103.985015579,118.349444727,89.6205864304,129.032536926
2001-07,104.075678891,128.017913378,80.1334444051,125.758756467
2001-08,103.133324574,136.781422541,69.4852266063,130.064187493
2001-09,98.0558234285,128.547396563,67.5642502943,120.833242104
2001-10,97.7065689304,119.7097091,75.7034287608,120.975605643
2001-11,101.085740224,113.286286497,88.8851939519,125.848731397
2001-12,101.117827126,101.758908845,100.476745407,122.70198529
2002-01,103.266595142,88.4525703163,118.080619968,123.935137001
2002-02,98.2147398618,74.2822031114,122.147276612,120.414066724
2002-03,98.8869809982,75.1784724053,122.595489591,116.631887498
2002-04,96.4820467552,84.2969624712,108.667131039,119.258679801
2002-05,101.244706444,104.517124546,97.9722883416,122.369904361
2002-06,105.032842284,123.378792178,86.6868923898,128.211570552
2002-07,101.156076293,126.25852744,76.0536251461,121.645311441
2002-08,102.586433919,136.950977273,68.221890565,128.181727032
2002-09,98.0671420052,129.141747011,66.9925369999,122.26550004
2002-10,99.6292592346,127.007914251,72.2506042183,121.272669681
2002-11,101.813453561,118.525373055,85.1015340681,126.647370467
2002-12,100.818770295,104.04743138,97.5901092099,122.770446076
2003-01,100.236937848,85.4681572487,115.005718447,122.697799557
2003-02,98.3353080523,74.234373598,122.436242507,120.855696104
2003-03,98.3591394509,75.3559237842,121.362355118,120.154148713
2003-04,99.5504222347,88.1447108425,110.956133627,121.767620388
2003-05,99.5402427915,104.360622619,94.7198629644,121.733978816
2003-06,102.762181248,115.34227428,90.1820882154,122.276324825
2003-07,103.551784702,131.578890017,75.5246793872,128.926635061
2003-08,101.386969735,133.595115408,69.1788240626,123.275419745
2003-09,102.124269821,136.896911501,67.3516281412,124.545274702
2003-10,98.6720703998,125.113673849,72.2304669506,121.980011444
2003-11,97.9292437241,116.845219965,79.0132674827,124.925767756
2003-12,103.922400301,106.461011468,101.383789134,128.553674221
2004-01,99.0617695663,85.500372266,112.623166867,119.192435166
2004-02,101.168228543,78.2410689401,124.095388145,121.584235149
2004-03,96.1038900538,71.5311030302,120.676677078,122.811031591
2004-04,97.6957987954,85.8766134262,109.514984165,121.221198476
2004-05,100.185551043,107.446215984,92.9248861012,123.117080949
2004-06,104.533279372,123.365437549,85.7011211943,133.35850729
2004-07,102.318172943,126.554166962,78.0821789249,125.327669687
2004-08,101.596253568,135.065654171,68.1268529657,121.552770898
2004-09,100.406063842,132.698310609,68.1138170758,126.33048425
2004-10,98.9693225814,124.710470123,73.2281750397,125.529844561
2004-11,101.818172126,116.887051292,86.7492929588,126.326275835
2004-12,104.359917309,106.625375896,102.094458723,128.67885536
2005-01,102.760070111,91.4436389921,114.07650123,124.296533788
2005-02,97.8512913023,76.6181036006,119.084479004,120.182052705
2005-03,98.2370968188,79.6144882238,116.859705414,116.945144929
2005-04,96.5339170739,84.3044488033,108.763385345,118.656069745
2005-05,99.3116170049,103.79703742,94.8261965903,119.502650311
2005-06,102.884323813,118.414599331,87.3540482944,122.219902634
2005-07,102.986738102,131.864680023,74.1087961811,129.694896891
2005-08,102.279052855,133.733522207,70.8245835031,123.234075859
2005-09,99.0816494685,133.128404809,65.0348941282,127.698332867
2005-10,102.303437167,130.935736909,73.671137426,127.741848193
2005-11,101.53370438,118.088506814,84.9789019456,122.04364714
2005-12,104.224223387,105.517809075,102.930637698,128.575524153
2006-01,104.023918007,92.2263574418,115.821478573,129.561015509
2006-02,98.7572166574,78.4495929028,119.064840412,120.227998441
2006-03,101.302196225,76.2639794322,126.340413017,124.522588905
2006-04,98.6833064891,82.1062358144,115.260377164,120.282484679
2006-05,101.134282545,105.607709475,96.6608556154,121.918307055
2006-06,103.919768422,117.663347766,90.1761890786,129.884031199
2006-07,102.770635604,131.904526224,73.6367449838,125.284422177
2006-08,102.620324789,134.775741889,70.4649076889,128.271595202
2006-09,100.715144197,138.469726255,62.9605621391,129.834726198
2006-10,99.9011424699,130.566147577,69.2361373628,126.299221315
2006-11,101.886566031,116.821674367,86.9514576954,127.662450715
2006-12,104.47205364,108.103499629,100.840607651,133.617263487
2007-01,96.6008225841,79.1309856751,114.070659493,121.264403211
2007-02,98.3699007504,76.2547288999,120.485072601,118.672475646
2007-03,96.5377025521,73.177216471,119.898188633,118.228039804
2007-04,97.3899571472,85.6626475321,109.117266762,118.660597951
2007-05,99.3692291743,104.268290298,94.4701680503,124.012019161
2007-06,105.519150266,118.650889978,92.3874105538,124.952492814
2007-07,101.100957969,124.81924846,77.3826674781,122.122654657
2007-08,102.397754083,137.617123251,67.1783849147,132.620007382
2007-09,99.3390771066,135.675521755,63.0026324585,128.826905706
2007-10,100.079414548,127.315290675,72.8435384201,129.842398935
2007-11,100.87024978,109.094904116,92.6455954448,128.161140216
2007-12,102.708351244,102.285765539,103.130936949,127.964401575
2008-01,101.473393379,82.8673735276,120.07941323,129.23763631
2008-02,100.897195307,77.5711816638,124.22320895,123.444411479
2008-03,100.659762998,82.9286337831,118.390892212,125.337058438
2008-04,101.652261244,88.0596349355,115.244887553,118.923149133
2008-05,101.145399662,109.519215364,92.7715839587,116.677212199
2008-06,106.574449273,124.774188708,88.3747098374,131.604900689
2008-07,106.222039368,132.736283084,79.7077956526,133.139353279
2008-08,103.64054838,138.660425652,68.6206711067,126.581325757
2008-09,102.482900151,135.155362598,69.8104377034,127.613551938
2008-10,98.6187910388,126.46378044,70.7738016379,128.109771533
2008-11,101.53482631,112.145728273,90.9239243476,126.726144729
