temp_GL_land_ocean,temp_NH_land_ocean,temp_SH_land_ocean,temp_GL_station,temp_NH_station,temp_SH_station,DATE
-29,-53,-5,-87,-102,-58,1880-01
-21,-44,2,-49,-82,-13,1880-02
-18,-30,-6,-53,-80,-41,1880-03
-27,-46,-8,-69,-92,-54,1880-04
-14,-11,-17,-40,-37,-39,1880-05
-29,-27,-31,-52,-38,-63,1880-06
-23,-28,-18,-50,-24,-73,1880-07
-8,-29,14,0,-35,27,1880-08
-16,-33,0,-55,-52,-51,1880-09
-15,-26,-5,-68,-55,-95,1880-10
-18,-39,2,-54,-89,-25,1880-11
-22,-41,-2,-59,-113,-10,1880-12
-10,-7,-12,-82,-67,-108,1881-01
-14,-25,-3,-67,-80,-57,1881-02
1,-2,3,-43,-39,-49,1881-03
-3,-8,2,-33,-31,-36,1881-04
-4,-13,5,-9,-31,-8,1881-05
-28,-44,-13,-115,-86,-145,1881-06
-6,-5,-8,-62,-39,-77,1881-07
-2,-4,0,-32,-19,-32,1881-08
-9,-22,3,-46,-34,-58,1881-09
-20,-36,-5,-62,-71,-67,1881-10
-26,-42,-11,-65,-66,-78,1881-11
-16,-31,-1,-21,-63,16,1881-12
9,16,2,2,15,-5,1882-01
8,18,-1,-22,10,-52,1882-02
1,-4,7,-18,-20,-30,1882-03
-20,-41,1,-67,-69,-82,1882-04
-17,-33,-2,-45,-64,-40,1882-05
-25,-32,-18,-107,-57,-139,1882-06
-11,-18,-3,-79,-54,-95,1882-07
3,1,6,-19,-23,-16,1882-08
0,-3,2,-11,-41,14,1882-09
-23,-50,3,-39,-87,1,1882-10
-21,-37,-6,-49,-97,-21,1882-11
-25,-39,-12,-75,-115,-70,1882-12
-34,-58,-10,-77,-118,-77,1883-01
-42,-67,-17,-101,-129,-96,1883-02
-18,-18,-18,-58,-63,-71,1883-03
-24,-31,-18,-42,-61,-35,1883-04
-26,-31,-21,-46,-65,-29,1883-05
-13,-24,-1,29,-33,71,1883-06
-9,-14,-4,-15,-26,-10,1883-07
-14,-27,0,-29,-49,-5,1883-08
-19,-31,-8,-58,-55,-51,1883-09
-12,-13,-11,-67,-52,-87,1883-10
-21,-34,-8,-80,-90,-84,1883-11
-19,-25,-12,-51,-76,-12,1883-12
-18,-22,-14,-62,-84,-47,1884-01
-12,-15,-10,-48,-75,-41,1884-02
-35,-65,-6,-60,-128,-26,1884-03
-36,-60,-13,-100,-120,-90,1884-04
-32,-42,-23,-126,-91,-166,1884-05
-38,-50,-27,-90,-91,-99,1884-06
-34,-45,-25,-97,-69,-119,1884-07
-26,-50,-4,2,-80,80,1884-08
-23,-45,-3,-46,-81,-21,1884-09
-22,-36,-9,-86,-79,-94,1884-10
-30,-44,-17,-92,-93,-77,1884-11
-29,-37,-22,-107,-82,-132,1884-12
-65,-111,-23,-106,-177,-82,1885-01
-29,-35,-24,-87,-62,-111,1885-02
-23,-18,-29,-98,-59,-127,1885-03
-45,-56,-35,-104,-82,-139,1885-04
-42,-56,-28,-60,-88,-58,1885-05
-50,-55,-45,-98,-66,-123,1885-06
-28,-33,-24,-70,-38,-104,1885-07
-27,-44,-11,-22,-58,-5,1885-08
-18,-32,-7,-17,-53,1,1885-09
-19,-29,-11,-16,-80,23,1885-10
-22,-27,-17,-44,-64,-24,1885-11
-7,2,-15,-17,-13,-29,1885-12
-42,-66,-20,-86,-151,-46,1886-01
-46,-67,-26,-93,-130,-81,1886-02
-41,-57,-27,-77,-102,-65,1886-03
-29,-36,-23,-67,-53,-71,1886-04
-27,-35,-19,-61,-53,-69,1886-05
-39,-42,-36,-94,-60,-125,1886-06
-16,-14,-18,-44,-11,-69,1886-07
-31,-46,-16,-79,-44,-101,1886-08
-19,-30,-8,-47,-38,-43,1886-09
-24,-25,-24,-86,-50,-127,1886-10
-25,-34,-18,-54,-79,-24,1886-11
-25,-12,-37,-81,-38,-98,1886-12
-66,-101,-32,-95,-172,-36,1887-01
-48,-53,-43,-132,-117,-147,1887-02
-31,-32,-30,-66,-70,-60,1887-03
-37,-41,-33,-87,-82,-86,1887-04
-33,-32,-34,-88,-36,-136,1887-05
-20,-13,-27,-71,-34,-93,1887-06
-18,-12,-25,-42,-15,-62,1887-07
-27,-43,-12,-31,-69,4,1887-08
-19,-12,-25,-61,-34,-90,1887-09
-32,-38,-26,-59,-69,-52,1887-10
-25,-19,-31,-94,-56,-124,1887-11
